stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
6274,台燿,00403A,63YTW,0,0.0,0.0,1900000.0,1.67,,2026-09-02,47
6285,啟碁,00403A,63YTW,0,0.0,0.0,350000.0,0.05,,2026-09-02,47
6415,矽力*-KY,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
6442,光聖,00403A,63YTW,0,0.0,0.0,225000.0,0.25,,2026-09-02,47
6488,環球晶,00403A,63YTW,0,0.0,0.0,2800000.0,1.69,,2026-09-02,47
6515,穎崴,00403A,63YTW,0,0.0,0.0,29000.0,0.11,,2026-09-02,47
7769,鴻勁,00403A,63YTW,0,0.0,0.0,130000.0,0.46,,2026-09-02,47
8046,南電,00403A,63YTW,0,0.0,0.0,2640000.0,1.97,,2026-09-02,47
8210,勤誠,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
8299,群聯,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
8996,高力,00403A,63YTW,0,0.0,0.0,1737000.0,1.37,,2026-09-02,47
5347,世界,00403A,63YTW,0,-1000.0,0.0,1000.0,0.0,,2026-09-02,47
2308,台達電,00403A,63YTW,0,-130000.0,0.0,2750000.0,2.96,,2026-09-02,47
6805,富世達,00403A,63YTW,0,-200000.0,0.0,850000.0,1.12,,2026-09-02,47
8358,金居,00403A,63YTW,0,-200000.0,0.0,400000.0,0.13,,2026-09-02,47
2330,台積電,00403A,63YTW,0,-300000.0,0.0,10500000.0,15.59,,2026-09-02,47
2337,旺宏,00403A,63YTW,0,-1000000.0,0.0,2000000.0,0.15,,2026-09-02,47
3711,日月光投控,00403A,63YTW,0,-1500000.0,0.0,4500000.0,1.65,,2026-09-02,47
2344,華邦電,00403A,63YTW,0,-2000000.0,0.0,5000000.0,0.56,,2026-09-02,47
